robotID,a,b,c
0,5.0188999667180099,33.332765889960079,-0.26886922977786404
1,7.1845466574168917,69.899270215715219,-3.4116315481296193
2,9.0203676805448687,43.912014735314926,-1.4511708792731834
3,8.4222077723210518,54.567633810863278,27.859479668558414
4,2.4433739661953506,55.900120399470708,1.862954568512841
5,7.4523623557441656,40.765190518748085,1.2897567588638936
6,11.966366941757665,2.5250543070331868,1.2442523678129416
7,6.3213679153753395,38.800443613997579,7.025530843464499
9,9.4052775740191024,-3.3035702882371134,76.724778869268562
10,8.7633601519725648,12.248306811688323,-0.47720005568032908
11,6.1746447483721392,24.775388458961501,0.87403930619281434
